name,artists,year,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,explicit
Rag Doll,['Aerosmith'],1987,60,265693,0.583,0.579,0.954,0.0,0.139,-3.947,0.0558,93.448,0.583,1,4,0
Don't Stop Me Now,['Queen'],1981,60,209600,0.057,0.557,0.761,0.00109,0.567,-9.58,0.167,156.442,0.666,1,5,0
I'm on My Way,['The Proclaimers'],1988,60,225587,0.369,0.824,0.634,0.0,0.0665,-10.296,0.0342,118.922,0.743,1,8,0
Express Yourself,['N.W.A.'],1988,60,265102,0.0506,0.851,0.583,0.0,0.236,-11.022,0.286,95.048,0.956,0,8,1
The Trooper - 2015 Remaster,['Iron Maiden'],1983,60,252733,0.0318,0.285,0.908,0.00909,0.311,-4.601,0.0705,159.756,0.669,0,4,0
Wild Child,['W.A.S.P.'],1985,60,312400,0.0608,0.372,0.857,9.01e-05,0.187,-7.816,0.0461,146.08,0.389,0,5,1
Woman,['John Lennon'],1980,60,212933,0.378,0.588,0.656,0.00227,0.042,-6.373,0.0224,79.701,0.746,1,3,0
That's Entertainment,['The Jam'],1980,60,212787,0.211,0.567,0.653,0.000489,0.0639,-11.524,0.0336,142.218,0.78,0,0,0
Baby Jane - 2008 Remaster,['Rod Stewart'],1983,60,283493,0.0137,0.641,0.796,0.000115,0.358,-8.56,0.0407,123.229,0.727,0,2,0
My Hometown,['Bruce Springsteen'],1984,60,279667,0.486,0.652,0.338,5.9e-05,0.0744,-11.58,0.0367,116.881,0.392,1,9,0
Quase Sem Querer,['Legião Urbana'],1986,60,280467,0.019,0.598,0.65,0.0482,0.0775,-14.281,0.0402,90.673,0.595,1,7,0
Close to Me - 2006 Remaster,['The Cure'],1985,60,203267,0.0748,0.725,0.524,0.764,0.0819,-11.121,0.116,185.134,0.961,1,11,0
Too Shy,['Kajagoogoo'],1983,60,222320,0.101,0.714,0.709,9.38e-05,0.0786,-11.067,0.0743,108.018,0.728,0,5,0
